effect,obs,comp,fe,idx
0.4323375,200,1,product_code,P54
0.4623375,200,1,product_code,P540
0.5423375,200,1,product_code,P541
0.4523375,200,1,product_code,P542
0.5423375,200,1,product_code,P543
0.4323375,200,1,product_code,P544
0.5323375,200,1,product_code,P545
0.5223375,200,1,product_code,P546
0.4923375,200,1,product_code,P547
0.5173375,200,1,product_code,P548
0.4473375,200,1,product_code,P549
0.4323375,200,1,product_code,P55
0.5473375,200,1,product_code,P550
0.5473375,200,1,product_code,P551
0.5473375,200,1,product_code,P552
0.4673375,200,1,product_code,P553
0.4523375,200,1,product_code,P554
0.4823375,200,1,product_code,P555
0.4723375,200,1,product_code,P556
0.4773375,200,1,product_code,P557
0.4523375,200,1,product_code,P558
0.5523375,200,1,product_code,P559
0.4323375,200,1,product_code,P56
0.4423375,200,1,product_code,P560
0.4473375,200,1,product_code,P561
0.4673375,200,1,product_code,P562
0.4423375,200,1,product_code,P563
0.4573375,200,1,product_code,P564
0.4623375,200,1,product_code,P565
0.4673375,200,1,product_code,P566
0.4873375,200,1,product_code,P567
0.5723375,200,1,product_code,P568
0.4723375,200,1,product_code,P569
0.4323375,200,1,product_code,P57
0.5623375,200,1,product_code,P570
0.5273375,200,1,product_code,P571
0.5073375,200,1,product_code,P572
0.5423375,200,1,product_code,P573
0.4773375,200,1,product_code,P574
0.4923375,200,1,product_code,P575
0.4723375,200,1,product_code,P576
0.5173375,200,1,product_code,P577
0.4423375,200,1,product_code,P578
0.4473375,200,1,product_code,P579
0.4423375,200,1,product_code,P58
0.4373375,200,1,product_code,P580
0.5073375,200,1,product_code,P581
0.5323375,200,1,product_code,P582
0.4623375,200,1,product_code,P583
0.6523375,200,1,product_code,P584
0.6273375,200,1,product_code,P585
0.4673375,200,1,product_code,P586
0.4723375,200,1,product_code,P587
0.5173375,200,1,product_code,P588
0.4623375,200,1,product_code,P589
0.4423375,200,1,product_code,P59
0.4923375,200,1,product_code,P590
0.5673375,200,1,product_code,P591
0.4623375,200,1,product_code,P592
0.4573375,200,1,product_code,P593
0.5773375,200,1,product_code,P594
0.4423375,200,1,product_code,P595
0.4623375,200,1,product_code,P596
0.4523375,200,1,product_code,P597
0.5323375,200,1,product_code,P598
0.5623375,200,1,product_code,P599
0.4423375,200,1,product_code,P6
0.4323375,200,1,product_code,P60
0.5723375,200,1,product_code,P600
0.5023375,200,1,product_code,P601
0.4373375,200,1,product_code,P602
0.4573375,200,1,product_code,P603
0.4423375,200,1,product_code,P604
0.5623375,200,1,product_code,P605
0.5023375,200,1,product_code,P606
0.5223375,200,1,product_code,P607
0.4523375,200,1,product_code,P608
0.4723375,200,1,product_code,P609
0.4273375,200,1,product_code,P61
0.4623375,200,1,product_code,P610
0.5673375,200,1,product_code,P611
0.4423375,200,1,product_code,P612
0.4823375,200,1,product_code,P613
0.5523375,200,1,product_code,P614
0.4423375,200,1,product_code,P615
0.4573375,200,1,product_code,P616
0.4723375,200,1,product_code,P617
0.4723375,200,1,product_code,P618
0.4373375,200,1,product_code,P619
0.4373375,200,1,product_code,P62
0.4473375,200,1,product_code,P620
0.4673375,200,1,product_code,P621
0.4973375,200,1,product_code,P622
0.4523375,200,1,product_code,P623
0.4623375,200,1,product_code,P624
0.4573375,200,1,product_code,P625
0.4623375,200,1,product_code,P626
0.5723375,200,1,product_code,P627
0.4923375,200,1,product_code,P628
0.5823375,200,1,product_code,P629
0.4373375,200,1,product_code,P63
0.5723375,200,1,product_code,P630
0.5923375,200,1,product_code,P631
0.4373375,200,1,product_code,P632
0.6273375,200,1,product_code,P633
0.4823375,200,1,product_code,P634
0.4373375,200,1,product_code,P635
0.5573375,200,1,product_code,P636
0.4923375,200,1,product_code,P637
0.4823375,200,1,product_code,P638
0.5573375,200,1,product_code,P639
0.4323375,200,1,product_code,P64
0.5423375,200,1,product_code,P640
0.4823375,200,1,product_code,P641
0.5173375,200,1,product_code,P642
0.5873375,200,1,product_code,P643
0.5373375,200,1,product_code,P644
0.5473375,200,1,product_code,P645
0.5923375,200,1,product_code,P646
0.4773375,200,1,product_code,P647
0.5373375,200,1,product_code,P648
0.4923375,200,1,product_code,P649
0.4323375,200,1,product_code,P65
0.6373375,200,1,product_code,P650
0.5173375,200,1,product_code,P651
0.5973375,200,1,product_code,P652
0.5023375,200,1,product_code,P653
0.4773375,200,1,product_code,P654
0.6173375,200,1,product_code,P655
0.4873375,200,1,product_code,P656
0.6173375,200,1,product_code,P657
0.6723375,200,1,product_code,P658
0.5273375,200,1,product_code,P659
